ano;codigo_municipio;municipio;uf;ibc;cobertura_pop_4g5g;densidade_smp;hhi_smp;densidade_scm;hhi_scm;adensamento_estacoes;fibra;cobertura_area_agricultavel
2024;1301803;Ipixuna - AM;AM;18.17;47.1066;20.87;26.0;3.73;49.0;7.86;0.0;8.9587
2024;1301852;Iranduba - AM;AM;49.82;81.7419;46.73;43.0;19.06;75.0;16.39;100.0;11.796
2024;1301902;Itacoatiara - AM;AM;44.9;75.2747;45.83;37.0;30.0;14.0;13.33;100.0;9.2774
2024;1301951;Itamarati - AM;AM;21.36;56.2696;39.81;31.0;4.71;29.0;12.79;0.0;2.7753
2024;1302009;Itapiranga - AM;AM;52.07;81.5881;79.61;50.0;21.54;21.0;27.76;100.0;2.4298
2024;1302108;Japurá - AM;AM;17.94;44.6913;41.08;10.0;7.26;17.0;15.96;0.0;0.8694
2024;1302207;Juruá - AM;AM;20.06;53.331;36.33;36.0;5.85;19.0;13.45;0.0;1.4482
2024;1302306;Jutaí - AM;AM;18.66;63.6474;34.0;18.0;6.59;12.0;7.23;0.0;0.0963
2024;1302405;Lábrea - AM;AM;24.12;64.751;35.49;36.0;5.6;72.0;5.11;0.0;0.2081
2024;1302504;Manacapuru - AM;AM;44.34;73.9592;46.57;32.0;19.96;49.0;11.29;100.0;2.5949
2024;1302553;Manaquiri - AM;AM;40.73;39.4772;38.75;47.0;11.36;65.0;8.82;100.0;18.8451
2024;1302603;Manaus - AM;AM;62.73;99.4846;69.03;60.0;53.66;80.0;26.67;100.0;5.1299
2024;1302702;Manicoré - AM;AM;37.98;51.5517;30.52;50.0;6.85;64.0;5.19;100.0;0.2286
2024;1302801;Maraã - AM;AM;15.93;45.0622;26.86;20.0;6.74;17.0;9.47;0.0;3.064
2024;1302900;Maués - AM;AM;22.82;50.6142;37.57;48.0;3.63;67.0;7.61;0.0;0.0617
2024;1303007;Nhamundá - AM;AM;21.0;50.3673;34.36;27.0;7.4;37.0;18.95;0.0;2.2308
2024;1303106;Nova Olinda do Norte - AM;AM;24.47;46.7482;46.73;54.0;10.91;53.0;10.61;0.0;0.5177
2024;1303205;Novo Airão - AM;AM;43.22;65.7351;48.02;29.0;15.71;49.0;9.11;100.0;10.0707
2024;1303304;Novo Aripuanã - AM;AM;21.27;65.0619;28.06;32.0;4.69;52.0;6.0;0.0;0.0953
2024;1303403;Parintins - AM;AM;33.09;77.3313;54.3;46.0;19.32;31.0;21.58;0.0;18.7426
2024;1303502;Pauini - AM;AM;18.88;51.4262;23.7;24.0;2.37;66.0;7.41;0.0;0.2556
2024;1303536;Presidente Figueiredo - AM;AM;42.63;51.8506;43.85;49.0;3.05;75.0;22.72;100.0;1.7311
2024;1303569;Rio Preto da Eva - AM;AM;44.16;56.9119;49.48;35.0;13.22;71.0;19.44;100.0;3.1721
2024;1303601;Santa Isabel do Rio Negro - AM;AM;22.52;37.0928;26.25;32.0;5.77;30.0;10.58;0.0;50.1574
2024;1303700;Santo Antônio do Içá - AM;AM;17.09;53.9018;25.39;38.0;4.76;17.0;4.93;0.0;0.4963
2024;1303809;São Gabriel da Cachoeira - AM;AM;17.88;46.4642;39.56;27.0;5.46;19.0;5.32;0.0;1.7763
2024;1303908;São Paulo de Olivença - AM;AM;16.13;43.1444;28.91;29.0;3.77;25.0;5.68;0.0;2.0884
2024;1303957;São Sebastião do Uatumã - AM;AM;36.93;56.2997;33.83;9.0;1.22;70.0;12.25;100.0;0.7245
2024;1304005;Silves - AM;AM;37.22;51.9487;40.91;28.0;2.04;31.0;20.15;100.0;1.4784
2024;1304062;Tabatinga - AM;AM;40.77;79.5351;33.13;60.0;4.06;37.0;2.77;50.0;62.8788
2024;1304104;Tapauá - AM;AM;37.56;54.6059;29.97;52.0;8.9;43.0;7.32;100.0;0.0308
2024;1304203;Tefé - AM;AM;28.11;84.3713;40.41;53.0;12.48;45.0;5.68;0.0;0.1315
2024;1304237;Tonantins - AM;AM;23.12;52.7706;28.28;48.0;3.34;21.0;7.42;0.0;36.1761
2024;1304260;Uarini - AM;AM;18.84;58.3338;31.24;9.0;5.92;19.0;13.09;0.0;7.0618
2024;1304302;Urucará - AM;AM;23.33;66.7005;35.43;14.0;1.01;62.0;17.94;0.0;1.6879
2024;1304401;Urucurituba - AM;AM;26.09;62.399;29.15;50.0;7.97;59.0;11.72;0.0;16.0939
2024;1400027;Amajari - RR;RR;12.29;13.3912;16.18;23.0;3.56;66.0;6.42;0.0;2.0034
2024;1400050;Alto Alegre - RR;RR;13.2;29.577;18.89;3.0;3.39;60.0;4.34;0.0;3.6278
2024;1400100;Boa Vista - RR;RR;55.49;98.0597;65.59;59.0;35.46;34.0;21.16;100.0;5.2824
2024;1400159;Bonfim - RR;RR;25.93;33.4341;32.67;25.0;4.42;65.0;6.57;50.0;1.8448
2024;1400175;Cantá - RR;RR;25.72;21.7286;21.31;59.0;7.66;56.0;12.16;50.0;4.655
2024;1400209;Caracaraí - RR;RR;42.52;62.5668;38.73;46.0;7.63;68.0;13.37;100.0;3.9821
2024;1400233;Caroebe - RR;RR;22.24;42.3454;45.22;3.0;10.25;67.0;12.81;0.0;8.8755
2024;1400282;Iracema - RR;RR;33.82;47.6551;22.97;7.0;4.94;58.0;9.28;100.0;6.2559
2024;1400308;Mucajaí - RR;RR;41.92;50.9703;43.81;60.0;5.52;70.0;10.19;100.0;4.1556
2024;1400407;Normandia - RR;RR;20.2;27.283;20.82;13.0;1.71;64.0;6.35;0.0;50.2247
2024;1400456;Pacaraima - RR;RR;24.45;43.3427;55.31;55.0;3.47;63.0;6.79;0.0;0.0
2024;1400472;Rorainópolis - RR;RR;42.46;46.0783;48.89;48.0;12.06;82.0;8.16;100.0;2.9179
2024;1400506;São João da Baliza - RR;RR;33.04;71.6224;36.34;9.0;2.24;70.0;10.28;50.0;12.3343
2024;1400605;São Luiz - RR;RR;32.26;67.9257;33.42;9.0;2.86;76.0;12.86;50.0;8.133
2024;1400704;Uiramutã - RR;RR;9.81;5.7516;11.67;20.0;3.42;41.0;9.63;0.0;
2024;1500107;Abaetetuba - PA;PA;50.08;71.6259;46.15;64.0;33.91;56.0;7.02;100.0;17.6136
2024;1500131;Abel Figueiredo - PA;PA;39.56;93.2462;64.53;20.0;2.34;70.0;23.8;0.0;47.1015
2024;1500206;Acará - PA;PA;40.37;41.929;25.91;54.0;3.29;74.0;9.57;100.0;27.0821
2024;1500305;Afuá - PA;PA;18.56;29.6911;20.75;56.0;8.79;71.0;3.73;0.0;3.2738
2024;1500347;Água Azul do Norte - PA;PA;35.28;31.6043;29.96;38.0;8.85;66.0;8.35;100.0;3.4751
2024;1500404;Alenquer - PA;PA;39.55;58.0353;37.54;20.0;6.29;74.0;9.35;100.0;4.2758
2024;1500503;Almeirim - PA;PA;48.09;68.0747;55.59;54.0;20.41;56.0;22.02;100.0;0.5885
2024;1500602;Altamira - PA;PA;52.71;85.4745;57.52;47.0;24.13;71.0;27.38;100.0;0.5722
2024;1500701;Anajás - PA;PA;20.85;39.0725;33.75;50.0;6.95;66.0;3.33;0.0;3.3189
2024;1500800;Ananindeua - PA;PA;72.18;99.9773;63.95;65.0;39.36;77.0;24.32;100.0;99.9253
2024;1500859;Anapu - PA;PA;39.29;55.1038;41.68;30.0;26.18;17.0;10.02;100.0;3.7031
2024;1500909;Augusto Corrêa - PA;PA;38.26;63.5846;30.4;30.0;11.29;67.0;6.3;50.0;53.7109
2024;1500958;Aurora do Pará - PA;PA;42.02;49.494;31.47;56.0;5.69;65.0;16.45;100.0;18.8302
2024;1501006;Aveiro - PA;PA;19.03;42.105;16.75;44.0;2.86;28.0;28.61;0.0;8.2071
2024;1501105;Bagre - PA;PA;17.47;51.677;23.9;14.0;2.6;54.0;7.22;0.0;0.6236
2024;1501204;Baião - PA;PA;34.08;52.82;20.46;15.0;2.85;52.0;6.26;100.0;9.2722
2024;1501253;Bannach - PA;PA;20.66;39.6995;35.43;14.0;3.41;39.0;35.28;0.0;4.7116
2024;1501303;Barcarena - PA;PA;59.82;89.895;69.01;59.0;32.38;52.0;17.84;100.0;41.1857
2024;1501402;Belém - PA;PA;74.26;99.9434;76.44;66.0;52.37;76.0;24.95;100.0;86.3998
2024;1501451;Belterra - PA;PA;20.4;42.4847;37.66;27.0;5.21;62.0;7.91;0.0;2.7209
2024;1501501;Benevides - PA;PA;69.46;99.3815;73.37;64.0;20.86;67.0;19.06;100.0;99.8515
2024;1501576;Bom Jesus do Tocantins - PA;PA;41.86;63.0298;33.71;24.0;3.22;75.0;13.19;100.0;17.5914
2024;1501600;Bonito - PA;PA;29.93;63.7905;38.15;49.0;5.25;28.0;11.54;0.0;53.794
2024;1501709;Bragança - PA;PA;52.82;87.3956;45.12;56.0;21.18;71.0;12.53;100.0;26.2852
